formula,predicted_Tc,efermi,band_gap,database_IDs
Th1B2Rh2C1,6.688188552856445,7.51306634,0.0,icsd-659010
Ca2Fe2O5,6.6705169677734375,3.65982951,0.8630999999999998,icsd-161509
Ce11Ni4Ge6,6.640468597412109,6.90695661,0.0,pf-10260
Tm2Ni3B6,6.631015777587891,6.4729907,0.0,icsd-615052
Er12Mn5C15,6.600507736206055,4.56199263,0.0,pf-14284
Li2Sn1O3,6.593696594238281,3.21578022,3.1283000000000003,icsd-21032
Er1B7Mo3,6.592563629150391,8.28908171,0.0,pf-31813
Gd2B3C2,6.592084884643555,4.93516061,0.0,icsd-67980
Tb2B4C1,6.590024948120117,5.15406189,0.0,pf-37153
Y1B2,6.583282470703125,5.14027682,0.0,icsd-615708
Er2Ni3B6,6.562992095947266,6.50844046,0.0,icsd-655633
Li2Ti1F6,6.558757781982422,-2.43004376,4.1597,icsd-18313
Cs1Pr3C1I6,6.557826995849609,3.51581103,0.7084000000000001,icsd-300266
Ca1Mo1O4,6.550561904907227,1.50237155,3.5007,icsd-23699
Eu1Ni2B2C1,6.535511016845703,5.90023744,0.0,icsd-79571
Th1Ni2B2C1,6.521125793457031,8.2112295,0.0,icsd-659009
C1O2,6.517244338989258,-4.09997108,6.6332,icsd-31090
Er1Ni2B2,6.513566970825195,6.12291933,0.0,icsd-613779
Li7Eu4Bi6,6.507881164550781,3.30815316,0.0,icsd-428116
Ca4Bi2O1,6.506202697753906,4.15265505,0.8131000000000004,icsd-416137
Ti3Ge1C2,6.497829437255859,7.60476869,0.0,icsd-180428
Er1B3Mo1,6.486988067626953,6.90713288,0.0,icsd-65932
Tm1B7Mo3,6.483816146850586,8.23669444,0.0,pf-21347
Tm1B2Ru1,6.4773712158203125,6.0339418,0.0,icsd-615385
Li1Ca1Fe1F6,6.46491813659668,1.99441566,4.1719,pf-3395
Y4Ni13C4,6.4642333984375,6.45406235,0.0,icsd-618594
Li1B1F4,6.452117919921875,-4.59716786,8.246,icsd-171375
Ba2Ni1Mo1O6,6.439792633056641,3.09202529,2.3514,icsd-98192
Fe1C1O3,6.435468673706055,4.42937617,0.0,icsd-169797
Li1Dy6B3O14,6.435274124145508,1.83286476,4.7578,pf-12197
Li1I1O3,6.418352127075195,1.04372688,3.7255,icsd-2642
Y3Sn1C1,6.395925521850586,4.97800543,0.0,icsd-56405
Gd2C1F2,6.392803192138672,3.41776798,0.7328000000000001,icsd-33912
Li3Pr2B3O9,6.392631530761719,1.91002415,4.486,icsd-20217
Tb2Mo2C3,6.366971969604492,5.66339827,0.0,pf-29336
Cs2C1O3,6.3453826904296875,1.010448,3.3306,icsd-14156
Sn5B1F13,6.344745635986328,0.75668236,4.104,icsd-47140
Dy2B4C1,6.32524299621582,5.12844442,0.0,icsd-418403
Nd2Mo1C2,6.324029922485352,5.41622453,0.0,icsd-417666
Pr7C3I10,6.321826934814453,4.4043765,0.0121999999999999,icsd-409907
Li1Ca1Ni1F6,6.320444107055664,-1.33391318,0.0,icsd-32732
Ce21Fe8Bi7C12,6.311723709106445,7.21033056,0.0,icsd-260244
Gd1Ni2B2C1,6.30885124206543,6.52116074,0.0,icsd-79563
Y3In1C1,6.299806594848633,4.26136703,0.0,icsd-80955
